Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Thai Island,QUICK BITES,3.4,15.0,"Exchange Tower, 130 King Street West, The PATH, Toronto","Thai, Asian",25.0,Financial District
Villa Madina,QUICK BITES,3.3,11.0,"Scotia Plaza, 40 King Street West, The PATH, Toronto",Mediterranean,25.0,Financial District
Edo Japan,QUICK BITES,3.7,15.0,"Brookfield Place, 161 Bay Street, The PATH, Toronto",Japanese,20.0,Financial District
Wendy's,FAST FOOD,3.5,12.0,55 University Avenue,"Fast Food, Burger",20.0,Financial District
China Wok,QUICK BITES,2.8,13.0,"Commerce Court, 199 Bay Street, The PATH, Toronto","Fast Food, Chinese, Asian",25.0,Financial District
Szechuan Express,Other,3.4,12.0,"Royal Bank Plaza, 200 Bay Street, The PATH, Toronto",Chinese,20.0,Financial District
Sushi Shop Exchange Tower,QUICK BITES,3.0,10.0,"130 King Street W, Toronto M5X 1A9 2A2",Sushi,30.0,Financial District
Mucho Burrito,QUICK BITES,2.7,7.0,"First Canadian Place, Food Court, 100 King Street West, Toronto",Tex-Mex,30.0,Financial District
Piazza Manna,QUICK BITES,2.2,16.0,"Exchange Tower, 130 King Street West, The PATH, Toronto","Pizza, Fast Food, Italian",20.0,Financial District
Noodle King,QUICK BITES,3.6,14.0,"The Plaza At Sheraton Centre, 123 Queen Street West, The PATH, Toronto",Chinese,25.0,Financial District
The Cereal Bar,QUICK BITES,3.7,10.0,"Commerce Court, 199 Bay Street, The PATH, Toronto M5L 1G9",Healthy Food,20.0,Financial District
Biryani House,QUICK BITES,3.4,9.0,"Richmond Adelaide Centre, 120 Adelaide Street West, The PATH, Toronto",Indian,25.0,Financial District
McDonald's,QUICK BITES,2.9,15.0,"TD West Tower, 100 Wellington Street West, The PATH, Toronto",Fast Food,25.0,Financial District
Chotto Matte,CASUAL DINING,,,"Brookfield Place, 161 Bay Street Financial District, Toronto","Japanese, Peruvian",70.0,Financial District
Uncle Tetsu Cheesecake,DESSERT PARLOR,3.8,7.0,"Union Station, 65 Front Street W, Toronto M5J 1E6","Desserts, Japanese",15.0,Financial District
Hidden Burger,QUICK BITES,2.9,4.0,"22 Front Street W, Toronto M5J 1C4",Burger,25.0,Financial District
Manchu Wok,QUICK BITES,3.0,14.0,"Brookfield Place, 161 Bay Street, The PATH, Toronto","Fast Food, Chinese, Asian",25.0,Financial District
Naturally Yours,BAKERY,3.6,9.0,"100 King Street West, Toronto M5X1B8",Bakery,20.0,Financial District
Second Cup,CAFÉ,3.7,8.0,"Scotia Plaza, 40 King Street West, The PATH, Toronto","Cafe, Coffee and Tea, Frozen Yogurt",10.0,Financial District
