Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Pancer's Deli,QUICK BITES,3.9,21.0,"9960 Dufferin Street, Unit 12, Vaughan","Deli, Fast Food, Sandwich",25.0,Vaughan
Sunset Grill,CASUAL DINING,3.6,34.0,"3255 Rutherford Road, Unit G1, Vaughan","Diner, Breakfast",30.0,Vaughan
Kelsey's,CASUAL DINING,3.0,25.0,"9855 Jane Street West, Vaughan L6A 3N9",Canadian,65.0,Vaughan
Canyon Creek,CASUAL DINING,3.6,30.0,"255 Bass Pro Mills Road, Vaughan",Steak,90.0,Vaughan
Aroma Espresso Bar,CAFÉ,3.0,11.0,"Vaughan Mills Mall, 1 Bass Pro Mills Drive, Vaughan",Cafe,25.0,Vaughan
Big Bone BBQ & Wicked Wings,QUICK BITES,3.9,25.0,"10040 Keele Street, Vaughan","BBQ, American",35.0,Vaughan
St. Louis Bar & Grill,CASUAL DINING,3.1,19.0,"90 Edgeley Boulevard, Unit 106, Vaughan, Ontario L4K 5W7","Bar Food, Grill",40.0,Vaughan
Nino D'Aversa Bakery,BAKERY,3.6,26.0,"Vaughan City Centre, 3120 Rutherford Road, Unit 22, Vaughan L4K 0B1","Italian, Bakery",35.0,Vaughan
Sorelle and Co.,BAKERY,3.5,8.0,"1050 Rutherford Road,Vaughan L6A 1S2",Bakery,35.0,Vaughan
Hong Phat,CASUAL DINING,3.4,8.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Unit 70, Vaughan","Vietnamese, Asian",40.0,Vaughan
Nowshak Restaurant,CASUAL DINING,3.8,13.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Vaughan",Afghan,40.0,Vaughan
Vicentina,CASUAL DINING,3.7,18.0,"109 Edilcan Drive, Vaughan",Italian,,Vaughan
The Loft by Wendel Clark,CASUAL DINING,3.0,25.0,"70 Interchange Way, Vaughan",Grill,60.0,Vaughan
Buffalo Wild Wings,CASUAL DINING,3.2,22.0,"SmartCentres Vaughan Northwest, 3582 Major Mackenzie Drive, Vaughan","Bar Food, American",45.0,Vaughan
Ginza,CASUAL DINING,2.7,23.0,"9660 Dufferin Street, Unit 6-7, Vaughan","Sushi, Japanese, Asian, Thai",30.0,Vaughan
Montana's Cookhouse,CASUAL DINING,3.2,19.0,"3255 Rutherford Road, Vaughan","Canadian, Grill, BBQ, Steak",50.0,Vaughan
Via Panini,QUICK BITES,3.9,21.0,"Mackenzie Glen Square, 2810 Major Mackenzie Drive, Vaughan",Italian,30.0,Vaughan
Sorrento North Ristorante,CASUAL DINING,3.3,23.0,"965 Major Mackenzie Drive West, Vaughan",Italian,85.0,Vaughan
Island Mix Restaurant & Lounge,CASUAL DINING,3.9,20.0,"Vaughan Mills Plaza, 3175 Rutherford Road, Unit 48-49, Vaughan",Caribbean,30.0,Vaughan
Maple Garden Chinese,CASUAL DINING,3.5,21.0,"10065 Keele Street, Vaughan","Asian, Chinese",25.0,Vaughan
Paoletti's Pizzeria,CASUAL DINING,3.4,15.0,"8700 Dufferin Street, Unit 18, Vaughan","Pizza, Italian",30.0,Vaughan
Mr. Greek,QUICK BITES,3.6,17.0,"3255 Rutherford Road, Unit 6, Vaughan L4K 5Y5",Greek,40.0,Vaughan
Sinopoli's Italian Ristorante,CASUAL DINING,3.0,23.0,"Norwood Plaza, 9681 Jane Street, Vaughan",Italian,45.0,Vaughan
OPA! of Greece,QUICK BITES,3.3,18.0,"1450 Major Mackenzie Drive, Unit M3, Vaughan",Greek,25.0,Vaughan
Ox Noodle,CAFÉ,3.5,5.0,"3175 Rutherford Road, Vaughan L4K 5Y6","Asian Fusion, Cafe",20.0,Vaughan
Cuscallan,CASUAL DINING,3.7,12.0,"3232 Steeles Avenue West, Vaughan",Latin American,30.0,Vaughan
Pars Grill,CASUAL DINING,3.8,13.0,"975 Major MacKenzie Drive W, Maple L6A 4P8",Iranian,35.0,Vaughan
Centro Panini,QUICK BITES,3.0,21.0,"Weston Downs Shopping Village, 3883 Weston Road, Vaughan","Fast Food, Italian",20.0,Vaughan
Boston Pizza,CASUAL DINING,3.0,17.0,"3255 Rutherford Road, Vaughan","American, Pizza",40.0,Vaughan
