Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Artisano Bakery Cafe,CAFÉ,3.7,32.0,"1200 Brant Street, Unit B1, Burlington L7P 1X8","Cafe, Bakery",25.0,Burlington
ye Olde Squire,CASUAL DINING,3.8,32.0,"3537 Fairview Street, Burlington","Bar Food, British",40.0,Burlington
Sushi Asano,CASUAL DINING,3.5,29.0,"2020 Appleby Line, B9, Burlington L0P1G0","Sushi, Dim Sum, Japanese, Asian",80.0,Burlington
Caffe Demetre,DESSERT PARLOR,3.5,33.0,"1250 Brant Street, Unit 104, Burlington L7P 1X8","Desserts, Ice Cream, Cafe",35.0,Burlington
Mikado,CASUAL DINING,3.9,28.0,"415 Elizabeth Street, Burlington","Sushi, Japanese, Asian",55.0,Burlington
The Dickens,CASUAL DINING,3.5,30.0,"423 Elizabeth Street, Burlington",British,40.0,Burlington
The Judge & Jury,CASUAL DINING,3.7,21.0,"1222 Walkers Line, Burlington","Bar Food, Breakfast",55.0,Burlington
Good Fortune Chinese Restaurant,CASUAL DINING,3.7,19.0,"484 Plains Road East, Burlington L7T2E2",Chinese,13.0,Burlington
The Keg,CASUAL DINING,3.8,32.0,"3130 South Service Road, Burlington",Steak,100.0,Burlington
Bento Box,CASUAL DINING,3.9,27.0,"2405 Fairview Street, Burlington","Sushi, Japanese, Korean, Asian",45.0,Burlington
The Poacher,CASUAL DINING,3.9,24.0,"463 Pearl Street, Burlington","Bar Food, British",50.0,Burlington
California Sandwiches,QUICK BITES,3.8,22.0,"3443 Fairview Street, Burlington",Sandwich,20.0,Burlington
Stonehouse,CASUAL DINING,3.9,21.0,"3106 South Service Road, Burlington","Steak, Seafood",80.0,Burlington
Honey West,CASUAL DINING,3.1,19.0,"399 Elizabeth Street, Burlington","Pizza, American",80.0,Burlington
Milestones,CASUAL DINING,3.5,25.0,"1200 Brant St Unit 30, Burlington L7P 5C6","Grill, Canadian",65.0,Burlington
Cora's Breakfast & Lunch,CASUAL DINING,3.0,36.0,"2445 Appleby Line, Burlington","Diner, Canadian",35.0,Burlington
Goody's,QUICK BITES,3.8,27.0,"2469 Mountainside Drive, Burlington","Greek, Sandwich",40.0,Burlington
Mandarin Restaurant - Burlington,CASUAL DINING,3.7,29.0,"1881 Fairview Street, Burlington","Chinese, Asian, Canadian",60.0,Burlington
Pane Fresco,BAKERY,3.9,28.0,"414 Locust Street, Burlington","Bakery, Cafe",20.0,Burlington
