Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Hawthorne,CASUAL DINING,3.4,47.0,"60 Richmond Street East, Toronto M5C 1N8",Canadian,50.0,St. Lawrence
Cluck Clucks,QUICK BITES,3.6,27.0,222 The Esplanade M5A 4M8,Fast Food,25.0,St. Lawrence
Patrician Grill,CASUAL DINING,4.0,67.0,"219 King Street East, Toronto","Canadian, Diner",40.0,St. Lawrence
Scotland Yard,CASUAL DINING,4.0,79.0,"56 The Esplanade, Toronto","Bar Food, British",65.0,St. Lawrence
Woods Restaurant & Bar,CASUAL DINING,3.9,33.0,"45 Colborne Street, Toronto",Canadian,90.0,St. Lawrence
The Chefs' House,CASUAL DINING,3.8,48.0,"215 King Street East, Toronto M5A 3W8",Canadian,90.0,St. Lawrence
Fusaro's Italian Kitchen,CASUAL DINING,3.9,53.0,"294 Richmond Street East, Toronto",Italian,40.0,St. Lawrence
Paddingtons Pump,BAR,3.9,51.0,"St. Lawrence Market, 91 Front Street East, Toronto M5E 1C2","Bar Food, Burger",30.0,St. Lawrence
The Keg Steakhouse + Bar - Esplanade,CASUAL DINING,4.0,67.0,"26 The Esplanade, Toronto, ON M5E 1A7",Steak,100.0,St. Lawrence
Bolet's Burrito,QUICK BITES,4.3,59.0,"134 Lower Sherbourne Street, Toronto",Tex-Mex,25.0,St. Lawrence
Fuzen,CASUAL DINING,4.2,60.0,"132 Front Street East, Toronto M5A1E2","Sushi, Japanese, Asian",35.0,St. Lawrence
Mystic Muffin,QUICK BITES,4.2,52.0,"113 Jarvis Street, Toronto","Middle Eastern, Fast Food",30.0,St. Lawrence
Rooster Coffee House,CAFÉ,3.8,43.0,"333 King Street East, Toronto M5A 1L1",Cafe,20.0,St. Lawrence
The Reservoir Lounge,BAR,3.8,51.0,"52 Wellington Street East, Toronto M5E 1C7",Bar Food,75.0,St. Lawrence
Gyu-Kaku Japanese BBQ,CASUAL DINING,3.3,13.0,"81 Church St, Toronto M5C 2G2","Japanese, BBQ",,St. Lawrence
The Jason George,CASUAL DINING,4.0,58.0,"100 Front Street East, Toronto M5A1E1",Bar Food,55.0,St. Lawrence
Bombay Palace,CASUAL DINING,3.6,62.0,"71 Jarvis Street, Toronto M5C 2H2",Indian,60.0,St. Lawrence
Mirto,CASUAL DINING,3.7,48.0,"25 Toronto Street, Toronto",Italian,65.0,St. Lawrence
Biagio Ristorante,CASUAL DINING,4.1,55.0,"155 King Street East, Toronto",Italian,100.0,St. Lawrence
Bikkuri,CASUAL DINING,3.2,61.0,"36 King Street East, Toronto","Sushi, Japanese, Asian",45.0,St. Lawrence
Tilted Kilt,BAR,3.5,61.0,"38 The Esplanade, Toronto M5E 1A1","Bar Food, Burger, Irish",60.0,St. Lawrence
The Corner Place,CASUAL DINING,3.0,53.0,"11 Jarvis Street, Toronto",Asian Fusion,45.0,St. Lawrence
Bob's Bulgogi,QUICK BITES,3.8,42.0,"105 Victoria Street, Toronto",Korean,25.0,St. Lawrence
