,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
56,The Arkadia House,CASUAL DINING,4.0,75.0,2007 Eglinton Avenue,Mediterranean,80.0,Scarborough
57,Mama's Boys Burgers,QUICK BITES,4.0,47.0,480 Danforth Road,American,25.0,Scarborough
58,The West Hill Pizza & Wings,CASUAL DINING,4.1,73.0,4637 Kingston Road,Italian,30.0,Scarborough
59,Yamamoto Japanese Cuisine,CASUAL DINING,3.4,20.0,2900 Warden Avenue,Japanese,50.0,Scarborough
60,Kostas Bakery,BAKERY,3.5,15.0,265 Ellesmere Road,Bakery,15.0,Scarborough
61,Made In China,CASUAL DINING,3.4,40.0,3280 Midland Avenue,Chinese,25.0,Scarborough
62,Kairali,CASUAL DINING,3.8,49.0,1210 Kennedy Road,South Indian,35.0,Scarborough
63,Agincourt Bakery,BAKERY,3.9,38.0,3059 Pharmacy Avenue,Bakery,20.0,Scarborough
64,Blue Water Curry & Roti,CASUAL DINING,3.9,53.0,1646 Victoria Park Avenue,Indian,20.0,Scarborough
65,Cafe Mirage Grill & Lounge,CASUAL DINING,3.6,57.0,26 William Kitchen Road,,45.0,Scarborough
66,Black Dog Pub,BAR,3.9,55.0,87 Island Road,Bar Food,60.0,Scarborough
67,Shanghai Dim Sum,CASUAL DINING,3.6,23.0,4401 Sheppard Avenue East,Chinese,30.0,Scarborough
68,D Spot,DESSERT PARLOR,3.4,29.0,51 Lebovic Avenue,Desserts,,Scarborough
69,Sam Woo BBQ,CASUAL DINING,3.8,50.0,375 Bamburgh Circle,Chinese,35.0,Scarborough
70,Duckworth's Fish & Chips,QUICK BITES,4.4,55.0,2282 Kingston Road,British,25.0,Scarborough
71,Jack Astor's,CASUAL DINING,3.7,53.0,580 Progress Avenue,Bar Food,55.0,Scarborough
72,Pizza La Rosa,QUICK BITES,3.6,27.0,2555 Victoria Park Avenue,Fast Food,30.0,Scarborough
73,Golden House,CASUAL DINING,4.2,42.0,257 Ellesmere Road,Thai,30.0,Scarborough
