Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
New Treasure Restaurant,CASUAL DINING,3.7,20.0,"150 Dundas Street West, Toronto","Dim Sum, Cantonese, Chinese, Asian",25.0,Discovery District
Fox & Fiddle,CASUAL DINING,2.3,31.0,"280 Bloor Street West, Toronto M5S 3B8","Bar Food, British",55.0,Discovery District
Poké Guys,FAST CASUAL,3.4,15.0,"112 Elizabeth Street, Unit 1 M5G 1P5",Japanese,15.0,Discovery District
Coconut Grove,QUICK BITES,3.3,23.0,"183 Dundas Street West, Toronto M5G1C7",Caribbean,30.0,Discovery District
BnB - Sheraton Centre,CASUAL DINING,2.9,23.0,"Sheraton Centre Toronto Hotel, 123 Queen Street West, Toronto M5H2M9",American,70.0,Discovery District
Bubble Tease,BEVERAGE SHOP,3.2,12.0,"111 Dundas Street West, Toronto","Bubble Tea, Beverages",15.0,Discovery District
Hemispheres Restaurant & Bistro - DoubleTree by...,CASUAL DINING,3.6,20.0,"DoubleTree by Hilton Hotel Toronto Downtown, 110 Chestnut Street, Toronto M5G 1R3","Canadian, Breakfast",90.0,Discovery District
Second Cup,CAFÉ,2.8,19.0,"179 College Street, Toronto","Cafe, Coffee and Tea, Frozen Yogurt",10.0,Discovery District
Harvest Noon,QUICK BITES,3.7,5.0,"University of Toronto - Graduate Students' Union, Second Floor, 16 Bancroft Avenue, Toronto M5S 1C1","Healthy Food, Cafe",20.0,Discovery District
Sammy's Student Exchange,QUICK BITES,3.3,17.0,"University of Toronto - Hart House, Inside Arbor Room, 7 Hart House Circle, Toronto","Mediterranean, American",25.0,Discovery District
Me.n.u Food Truck,Other,3.6,7.0,Location Varies,"Asian, Fusion",25.0,Discovery District
Hero Certified Burgers,FAST CASUAL,2.0,17.0,"200 Elizabeth Street, Unit R1A, Toronto General Hospital M5G2C4","Burger, Sandwich",25.0,Discovery District
Zeytouna,QUICK BITES,2.8,9.0,"171 Dundas Street West, Toronto M5G 1C7",Mediterranean,30.0,Discovery District
The Saj,QUICK BITES,3.1,14.0,"199 College Street, Toronto M5T 1P9","Mediterranean, Pizza",20.0,Discovery District
Thai Express,QUICK BITES,2.8,11.0,"505 University Avenue, Toronto",Thai,25.0,Discovery District
The Green Beet,CAFÉ,,,"University of Toronto - Gerstein Science Information Centre, 9 King's College Circle, Toronto M5S3K1",Cafe,20.0,Discovery District
Top Sushi,CASUAL DINING,2.2,5.0,"185 College Street, Toronto M5T1P7",Sushi,30.0,Discovery District
Cultures,QUICK BITES,3.6,12.0,"505 University Avenue, Toronto","Healthy Food, Sandwich",25.0,Discovery District
Ned's Cafe,CAFÉ,3.6,10.0,"University of Toronto - Goldring Student Centre, 150 Charles Street West, Toronto M5S 1K7",Cafe,20.0,Discovery District
Timothy's,CAFÉ,2.7,8.0,"425 University Avenue, Toronto",Cafe,25.0,Discovery District
Tim Hortons,CAFÉ,3.6,10.0,481 University Avenue,"American, Donuts, Desserts",20.0,Discovery District
Varsity Deli,QUICK BITES,2.8,5.0,"University of Toronto, 364 Huron Street, Toronto","Korean, Japanese, Asian",15.0,Discovery District
Innis Cafe,CAFÉ,3.3,6.0,"University of Toronto - Innis College, 2 Sussex Avenue, Toronto M5S1J5",Cafe,20.0,Discovery District
Subway,QUICK BITES,3.5,10.0,"1102 Bay Street, Toronto",Fast Food,20.0,Discovery District
Starbucks,CAFÉ,2.3,11.0,"205 College Street, Toronto",Cafe,20.0,Discovery District
Cafe On The Square,CAFÉ,3.4,5.0,"Toronto City Hall, 100 Queen Street West, Toronto M5H2N1",Cafe,25.0,Discovery District
Burger King,FAST FOOD,2.4,8.0,267 College Street M5T 1R5,"Fast Food, Burger",20.0,Discovery District
Smoke's Weinerie,QUICK BITES,,,"457 Spadina Avenue, Toronto M5S2G7",Fast Food,25.0,Discovery District
Coffee Public,CAFÉ,,,800 Bay Street,"Cafe, Sandwich",20.0,Discovery District
Curbside Deliciousness,Other,,,"Location Varies, Toronto",International,43.0,Discovery District
Quick Pita,QUICK BITES,,,"199 College Street, Toronto M5T1P9","Fast Food, Lebanese",15.0,Discovery District
Howard Ferguson Dining Hall,CASUAL DINING,,,"University of Toronto - Morrison Hall, 75 St. George Street, Toronto M5S2E5",Canadian,30.0,Discovery District
Pumpernickel's,CAFÉ,,,"Mars Discovery District, Food Court, 101 College Street, Toronto",Cafe,35.0,Discovery District
B Espresso Bar,CAFÉ,,,"273 Bloor Street West, Inside The Royal Conservatory of Music, Toronto M5S 1W2",Cafe,25.0,Discovery District
Sandwich Delight,QUICK BITES,2.6,5.0,"85 Grenville Street, Toronto M5S 3A2",Deli,25.0,Discovery District
The Exchange Cafe,CAFÉ,,,"University of Toronto - Rotman School of Management, 95 St. George Street, Toronto M5S 2E8",Cafe,25.0,Discovery District
Mr. Sub,QUICK BITES,2.6,5.0,"267 College Street, Toronto M5T 1R5",Fast Food,25.0,Discovery District
