Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Pancer's Original Deli,QUICK BITES,4.0,73.0,3856 Bathurst St. M3H 3N3 3N3,"Deli, Diner",25.0,North York
Petit Potato,CAFÉ,3.1,20.0,"10 Ravel Road Unit 1-2, Toronto M2H 1S8","Taiwanese, Japanese",,North York
Memories of Japan,CASUAL DINING,3.5,90.0,"900 Don Mills Road, North York M3C 1V6","Japanese, Sushi, Asian",40.0,North York
Congee Star,CASUAL DINING,3.9,62.0,"900 Don Mills Road, North York M3C 1V6","Cantonese, Chinese, Asian",30.0,North York
Kayagum,CASUAL DINING,3.4,57.0,"5460 Yonge Street, North York M2N 6K7","Korean, Japanese, Sushi, Asian",50.0,North York
California Sandwiches,QUICK BITES,4.3,77.0,"3703 Chesswood Drive, North York",Sandwich,20.0,North York
Union Social Eatery,CASUAL DINING,3.0,27.0,"4899 Yonge Street, Toronto M2N 5N4",Grill,50.0,North York
Sugar Marmalade,QUICK BITES,3.6,37.0,"5322 Yonge Street, North York M2N 5P9","Desserts, Taiwanese",25.0,North York
Sashimi House,CASUAL DINING,4.2,57.0,"2038 Sheppard Avenue E, North York M2J 4W6","Sushi, Japanese, Asian",40.0,North York
Ichiban Sushi House,CASUAL DINING,3.8,78.0,"Empress Walk, Unit A9A, 5095 Yonge Street, North York","Sushi, Japanese, Korean, Asian",50.0,North York
Hashi Izakaya,BAR,3.7,36.0,"5582 Yonge Street, North York M2N 5S2","Japanese, Asian",60.0,North York
Genji Sushi,CASUAL DINING,4.3,50.0,"2899 Steeles Avenue West, North York M3J 3A1","Sushi, Japanese, Asian",55.0,North York
Windfield's,CASUAL DINING,3.5,59.0,"801 York Mills Road, North York M3B 1X7",American,45.0,North York
Moxie's Grill & Bar,CASUAL DINING,3.9,64.0,"1800 Sheppard Avenue E, 2044, North York M2J 5A7","Grill, Steak, Canadian, Fusion",65.0,North York
Via Cibo,CASUAL DINING,3.9,47.0,"808 York Mills Road, North York M3B 1X8",Italian,40.0,North York
Chinese Halal Restaurant,CASUAL DINING,3.8,39.0,"Finch & Leslie Square, 101 Ravel Road, North York M2H 1T1","Xinjiang, Chinese, Asian",30.0,North York
Paramount Fine Foods,CASUAL DINING,3.4,41.0,"2450 Sheppard Avenue East, North York M2J 4W6","Lebanese, Middle Eastern",40.0,North York
The Captain’s Boil,CASUAL DINING,3.6,30.0,"5315 Yonge Street, Toronto M2N 5R4","Cajun, Seafood",60.0,North York
Congee Time,CASUAL DINING,3.6,59.0,"Newtonbrook Plaza, 5817 Yonge Street, North York M2M","Cantonese, Chinese, Asian",40.0,North York
Diwan,CASUAL DINING,3.5,19.0,"77 Wynford Drive, North York","Middle Eastern, Turkish, Fusion",100.0,North York
China Gourmet,CASUAL DINING,4.2,58.0,"877 York Mills Road, North York M3B 1Y5","Chinese, Asian",25.0,North York
Spoon & Fork Plus,CASUAL DINING,3.2,38.0,"865 York Mills Road, North York M3B 1Y6","Sushi, Japanese, Thai, Asian",55.0,North York
Symposium Cafe Restaurant & Lounge,CASUAL DINING,3.0,29.0,5221 Yonge Street M2N 5P8,"Diner, Burger, Desserts",65.0,North York
Sampaguita Village,CASUAL DINING,3.9,40.0,"322 Wilson Avenue, North York M3H 1S8","Filipino, Chinese, Asian",35.0,North York
Pho 88,CASUAL DINING,3.2,62.0,"5197 Yonge Street, North York M2N 5P7","Vietnamese, Thai",35.0,North York
Agra,CASUAL DINING,3.4,52.0,"4850 Yonge Street, North York M2N 5N2",Indian,45.0,North York
Szechuan Gourmet,CASUAL DINING,4.1,57.0,"1033 Steeles Avenue W, North York M2R 2S9","Chinese, Asian",35.0,North York
Osaka Sushi,CASUAL DINING,3.5,41.0,"747 Don Mills Road, North York",Sushi,45.0,North York
Matsuda,CASUAL DINING,3.2,37.0,"1300 Don Mills Road, North York M3B 2W6","Sushi, Japanese, Asian",65.0,North York
Nak Won,CASUAL DINING,3.2,47.0,"5594 Yonge Street, North York","Korean, Asian",50.0,North York
Lara's Restaurant,CASUAL DINING,3.9,29.0,"155 Consumers Road, North York M2J 0A8",Middle Eastern,30.0,North York
The Frog,CASUAL DINING,4.1,49.0,"4854 Yonge Street, North York M2N 5N2",Bar Food,65.0,North York
Mandarin Restaurant - North York,CASUAL DINING,3.9,67.0,"1027 Finch Avenue West, North York M3J 2C7","Chinese, Asian, Canadian",60.0,North York
United Bakers,CASUAL DINING,4.2,54.0,"Lawrence Plaza, 506 Lawrence Avenue West, North York M6A 1A1","Soul Food, Bakery",25.0,North York
Jack Astor's,CASUAL DINING,3.4,34.0,"5051 Yonge Street, North York",Bar Food,55.0,North York
