Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Taste Of China,CASUAL DINING,3.6,59.0,"338 Spadina Avenue, Toronto M5T2G2",Cantonese,45.0,Kensington-Chinatown
NU Bügel,BAKERY,3.8,60.0,"240 Augusta Avenue, Toronto M5T 2L7",Bakery,25.0,Kensington-Chinatown
Krepesz,CAFÉ,3.8,44.0,"253 Augusta Avenue, Toronto M5T 2L8","Cafe, Hungarian",35.0,Kensington-Chinatown
Jimmy's Coffee,CAFÉ,3.7,50.0,"191 Baldwin Street, Toronto M5T1L8",Cafe,15.0,Kensington-Chinatown
Otto's Berlin Döner,QUICK BITES,3.4,39.0,"256 Augusta Avenue, Toronto M5T3A9",German,20.0,Kensington-Chinatown
The Red Lounge,CASUAL DINING,3.8,71.0,"444 Spadina Avenue, Toronto",Bar Food,25.0,Kensington-Chinatown
Café Pamenar,BAR,4.0,51.0,"307 Augusta Avenue, Toronto M5T 2M2",Cafe,30.0,Kensington-Chinatown
Dim Sum King,CASUAL DINING,3.2,47.0,"Mandale Mall, Third Floor, 421 Dundas Street West, Toronto M5T 2W4","Dim Sum, Cantonese",40.0,Kensington-Chinatown
Furama,BAKERY,4.0,55.0,"248 - 250 Spadina Avenue, Toronto M5T 2C2","Bakery, Chinese",20.0,Kensington-Chinatown
Sky Dragon,CASUAL DINING,3.3,58.0,"Dragon City Mall, Top Floor, 280 Spadina Avenue, Toronto M5T 1H2","Dim Sum, Cantonese",40.0,Kensington-Chinatown
Bún Saigon,CASUAL DINING,3.8,52.0,"252 Spadina Avenue, Toronto M5T 2C2",Vietnamese,25.0,Kensington-Chinatown
To Ne Sushi,CASUAL DINING,3.5,39.0,"414 Queen Street West, Toronto","Sushi, Japanese, Asian",40.0,Kensington-Chinatown
Toronto Popcorn Company,QUICK BITES,3.7,30.0,"147 Baldwin Street, Toronto M5T3K7",Fast Food,15.0,Kensington-Chinatown
The Clubhouse Sandwich Shop,QUICK BITES,3.9,36.0,"455 Spadina Avenue, Toronto M5G 2G8",Sandwich,25.0,Kensington-Chinatown
Jackpot Chicken Rice,CASUAL DINING,2.9,17.0,"318 Spadina Avenue, Toronto M5T 2E7","Chinese, Singaporean",25.0,Kensington-Chinatown
Tequila Bookworm,BAR,3.5,51.0,"512 Queen Street West, Toronto","Canadian, Fast Food",40.0,Kensington-Chinatown
