Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
SIP Wine Bar,CASUAL DINING,3.6,33.0,"2 Broadway Avenue, Toronto M4P 1T4","Italian, Pizza",70.0,Yonge & Eglinton
.Gelato Simply Italian,CAFÉ,4.1,43.0,"2076 Yonge Street, Toronto M4S 2A3","Ice Cream, Cafe",30.0,Yonge & Eglinton
Tokyo Sushi,CASUAL DINING,3.8,44.0,"373 Eglinton Avenue West, Toronto M5N 1A3","Japanese, Korean",50.0,Yonge & Eglinton
C'est Bon,CASUAL DINING,3.6,46.0,"2685 Yonge Street, Toronto","Chinese, Asian",40.0,Yonge & Eglinton
South St. Burger Co.,QUICK BITES,3.7,41.0,"2383 Yonge Street, Toronto","Fast Food, Burger",25.0,Yonge & Eglinton
De Mello Palheta Coffee Roasters,CAFÉ,3.8,20.0,"2489 Yonge Street, Toronto M4P 2H6",Cafe,20.0,Yonge & Eglinton
St. Louis Bar and Grill,CASUAL DINING,3.5,44.0,"2050 Yonge St., Toronto, ON, M4S 1Z9","Bar Food, Grill",40.0,Yonge & Eglinton
Boar,QUICK BITES,3.6,24.0,"3 Glebe Road East, Toronto M4S 1N7",Sandwich,25.0,Yonge & Eglinton
Himalayan Java House,CAFÉ,3.7,15.0,"2552 Yonge Street, Toronto",Cafe,15.0,Yonge & Eglinton
Kramer's Bar and Grill,CASUAL DINING,3.9,39.0,"1915 Yonge Street, Toronto M4S 1Z3","Bar Food, Grill",60.0,Yonge & Eglinton
Istanbul Cafe & Espresso Bar,CAFÉ,3.5,20.0,"174 Eglinton Avenue East, Toronto M4P 1A6","Turkish, Cafe",30.0,Yonge & Eglinton
Pho King Fabulous!,CASUAL DINING,3.0,25.0,"2411 Yonge Street, Toronto M4P 2E7","Vietnamese, Asian",35.0,Yonge & Eglinton
Lola Sushi,CASUAL DINING,3.9,33.0,"2070 Yonge Street, Toronto M4S 2A3","Sushi, Japanese, Korean, Asian",50.0,Yonge & Eglinton
Dufflet Pastries,DESSERT PARLOR,3.7,25.0,"2638 Yonge Street, Toronto M4P 2J5",Desserts,25.0,Yonge & Eglinton
Kimono Japanese Grill & Sushi,CASUAL DINING,3.5,22.0,"359 Eglinton Avenue West, Toronto M5N 1A3","Sushi, Japanese, Asian",35.0,Yonge & Eglinton
Khau Gully,CASUAL DINING,3.6,17.0,"1991 Yonge Street, Toronto, ON M4S 1Z8",Indian,35.0,Yonge & Eglinton
La Carnita,CASUAL DINING,3.2,14.0,130 Eglinton Avenue E M4P 2X9,Mexican,30.0,Yonge & Eglinton
Douce France,CAFÉ,3.6,17.0,"820 Danforth Ave, Toronto M4P 2H6","Cafe, French",25.0,Yonge & Eglinton
I Zu,CASUAL DINING,3.6,28.0,"1835 Yonge Street, Toronto","Sushi, Japanese, Asian",45.0,Yonge & Eglinton
The Fox,Other,2.8,25.0,"51 Eglinton Avenue East, Toronto M4P 1G7",Bar Food,65.0,Yonge & Eglinton
Flaming Stove,QUICK BITES,3.4,9.0,"21 Davisville Avenue, Toronto M4S 1G3","Asian, Middle Eastern, Southern",45.0,Yonge & Eglinton
Noorden,CASUAL DINING,3.3,6.0,2110 Yonge Street M4S 2A5,"Tapas, Indonesian",,Yonge & Eglinton
The Rose & Crown,CASUAL DINING,3.9,26.0,"2335 Yonge Street, Toronto","Bar Food, American",60.0,Yonge & Eglinton
Aroma Espresso Bar,CAFÉ,3.5,15.0,"RioCan Yonge Eglinton Centre, 2300 Yonge Street, Toronto",Cafe,25.0,Yonge & Eglinton
3.2,Other,,,Yonge & Eglinton,Middle Eastern,,Yonge & Eglinton
Roberto's,CASUAL DINING,3.4,20.0,"2622 Yonge Street, Toronto M4P 2J4","Pizza, Italian",25.0,Yonge & Eglinton
Star King,CASUAL DINING,3.5,14.0,"2350 Yonge Street, Toronto M4P 2E6","Vietnamese, Thai, Asian",30.0,Yonge & Eglinton
Rachel's Coffee House,CAFÉ,3.7,17.0,"2011 Yonge Street, Toronto M4S 1Z8",Cafe,15.0,Yonge & Eglinton
TYC - by Sanjeev Kapoor,CASUAL DINING,2.9,12.0,"55 Eglinton Ave E, Toronto M4P 1G8",Indian,40.0,Yonge & Eglinton
Sweet Jesus,DESSERT PARLOR,3.3,10.0,130 Eglinton Avenue E M4P 2X9,Ice Cream,20.0,Yonge & Eglinton
Mimi's Caffe,CAFÉ,3.5,5.0,"120 Eglinton Avenue East, Toronto M4P 1A6","Cafe, Breakfast",20.0,Yonge & Eglinton
The Right Wing,BAR,3.3,16.0,"2497 Yonge Street, Toronto M4P 2H6",Bar Food,60.0,Yonge & Eglinton
Bahn Mi Boys,QUICK BITES,3.0,5.0,"2365 Yonge Street, Toronto",Sandwich,25.0,Yonge & Eglinton
Fionn MacCool's,CASUAL DINING,3.6,13.0,"1867 Yonge Street, Toronto","Bar Food, Irish, Canadian",60.0,Yonge & Eglinton
Tosto Quickfire Pizza Pasta,CASUAL DINING,3.3,6.0,"609 Roehampton Avenue, Unit 02, Toronto ON M4P 1S7","Italian, Pizza",30.0,Yonge & Eglinton
David's Tea,BEVERAGE SHOP,3.7,14.0,"2389 Yonge Street, Toronto","Tea, Beverages",15.0,Yonge & Eglinton
La Salumeria,QUICK BITES,3.6,9.0,"2021 Yonge Street, Toronto M4S 2A2",Sandwich,15.0,Yonge & Eglinton
Bakes & Goods,DESSERT PARLOR,3.6,6.0,"2523 Yonge Street, Toronto M4P 2H9",Desserts,15.0,Yonge & Eglinton
The Queen's Legs,BAR,3.1,16.0,"286 Eglinton Avenue West, Toronto",Bar Food,45.0,Yonge & Eglinton
Banh Mi Boys,QUICK BITES,3.7,7.0,2365 Yonge Street M4P 2C6,"Asian, Vietnamese, Fast Food",20.0,Yonge & Eglinton
