Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Budapest Restaurant,CASUAL DINING,3.5,11.0,"1959 Gerrard Street East, Toronto M4E 2A9",Hungarian,25.0,The Beaches
Occasions Restaurant,CASUAL DINING,3.4,18.0,"30 Eastwood Road, Toronto M4L 2C3","Greek, Bar Food",45.0,The Beaches
Bagels On Fire,CAFÉ,3.5,13.0,"2248 Queen Street East, Toronto M4E 1G2",Cafe,25.0,The Beaches
Juice & Java,CAFÉ,3.8,18.0,"2102 Queen Street East, Toronto M4E 1E2",Cafe,30.0,The Beaches
Breakwall BBQ & Smokehouse,CASUAL DINING,3.7,18.0,"1910 Queen Street East, Toronto M4L 1H5","BBQ, Bar Food",60.0,The Beaches
Kingston Gourmet Boxes,QUICK BITES,3.4,14.0,"452 Kingston Road, Toronto M4L 1V3","Indian, Canadian",25.0,The Beaches
XOLA,CASUAL DINING,3.1,11.0,"2222 Queen Street East, Toronto M4E 1E9",Mexican,55.0,The Beaches
The Fill Station & Sports Bar,CASUAL DINING,3.4,18.0,"2282 Queen Street East, Toronto M4E 1G6",Bar Food,40.0,The Beaches
Gabby's,BAR,2.9,18.0,"980 Kingston Road, Toronto M4E 1S9",Bar Food,55.0,The Beaches
Madhus,CAFÉ,3.5,17.0,"982 Kingston Road, Toronto M4E 1T1",Cafe,25.0,The Beaches
Honey Bee Restaurant,CASUAL DINING,2.7,16.0,"2028 Queen Street East , Toronto","Chinese, Asian",45.0,The Beaches
Hero Certified Burgers,QUICK BITES,3.6,16.0,"2018 Queen Street East, Toronto","Burger, Sandwich",25.0,The Beaches
Foodoe's Fish & Chips,QUICK BITES,3.3,9.0,1036 Kingston Road M4E 1T4,Fish and Chips,30.0,The Beaches
Isabella's Boutique Restaurant,CASUAL DINING,3.8,4.0,"2328 Queen Street East, Toronto M4E 1G9","Canadian, Coffee and Tea",25.0,The Beaches
Pizza Hut,QUICK BITES,2.9,12.0,"2070 Queen Street East, Toronto","Pizza, Fast Food",25.0,The Beaches
Mamma's Pizza,QUICK BITES,3.6,13.0,"2118 Queen Street East, Toronto","Pizza, Fast Food",25.0,The Beaches
Pattaya Thai Kitchen,CASUAL DINING,3.6,8.0,"2326 Queen Street East, Toronto M4E 1G9",Thai,35.0,The Beaches
My Place,BAR,3.1,16.0,"2066 Queen Street East, Toronto M4E 1C9",Bar Food,60.0,The Beaches
Carters Landing,BAR,3.6,4.0,"1681 Lake Shore Boulevard East, Toronto M4L 3W6","Bar Food, BBQ, Seafood",30.0,The Beaches
Sleepy Baker,BAKERY,,,"7 Coxwell Avenue, Toronto M4L 3A8",Bakery,15.0,The Beaches
Jody's Deli,QUICK BITES,3.7,10.0,"64 Kingston Road, Toronto M4L 1S4","Deli, Fast Food",25.0,The Beaches
Sanna's Farmacia Juicebar,BEVERAGE SHOP,3.1,11.0,"2096 Queen Street East, Toronto M4E 1E1","Juices, Healthy Food, Beverages",20.0,The Beaches
The Belgian Chocolate Shop,DESSERT PARLOR,3.9,7.0,"2455 Queen Street East, Toronto",Desserts,10.0,The Beaches
Bud's Coffee Bar,CAFÉ,3.4,7.0,"1934 Queen Street East, Toronto M4L",Cafe,20.0,The Beaches
Salty Dog Bar & Grill,BAR,2.8,11.0,"1980 Queen Street East, Toronto",Bar Food,45.0,The Beaches
Fat Bastard Burrito,QUICK BITES,3.0,7.0,"2008 Queen Street East, Toronto M4L 1J3","Mexican, Fast Food",25.0,The Beaches
Bodega Henriette,DESSERT PARLOR,,,"121 Bowmore Road, Toronto M4L 3J3",Desserts,10.0,The Beaches
David's Tea,BEVERAGE SHOP,3.5,6.0,"2010 Queen Street East, Toronto","Tea, Beverages",15.0,The Beaches
Chocolate By Wickerhead,DESSERT PARLOR,3.1,5.0,"2375 Queen Street East, Toronto",Desserts,25.0,The Beaches
Athens Pastries,CAFÉ,,,"1681 Lake Shore Boulevard East, Toronto M4L 3W6","Cafe, Greek, Bakery",25.0,The Beaches
Grinder Coffee,CAFÉ,3.7,9.0,"126 Main Street, Toronto M4E 2V8",Cafe,25.0,The Beaches
Amma Roti House ,CASUAL DINING,3.6,6.0,2014 Queen Street E M4L 1J3,Indian,,The Beaches
Beryl's Pepper Pot,QUICK BITES,3.4,6.0,"1610 Queen Street East, Toronto, ON M4L 1G2",Caribbean,25.0,The Beaches
Swiss Chalet Express,CASUAL DINING,3.1,8.0,"2148 Queen Street East, Toronto M4E 1E3",Canadian,40.0,The Beaches
Fade In Cafe,CASUAL DINING,3.4,4.0,"143 Main Street, Toronto M4E 2V8",Diner,30.0,The Beaches
The Bulging Burger,QUICK BITES,,,"2459 Queen Street East, Toronto M4E 1H7","Burger, Fast Food",25.0,The Beaches
Stone Pizza,QUICK BITES,,,"281 Scarborough Road, Toronto M4E 3M9",Pizza,30.0,The Beaches
The Nutty Chocolatier,DESSERT PARLOR,,,"2179 Queen Street East, Toronto",Desserts,15.0,The Beaches
ZIBA Berlin Döner,QUICK BITES,,,"1608 Queen Street East, Toronto, ON M4L 3A7",German,20.0,The Beaches
Mélange,BAR,2.8,6.0,"172 Main Street, Toronto M4E 2W1",Bar Food,40.0,The Beaches
Pizzaville,QUICK BITES,3.0,6.0,"1971 Queen Street East, Toronto","Pizza, Fast Food",25.0,The Beaches
Oscar Coffee + Espresso Bar,CAFÉ,,,"2377 Queen Street East, Toronto M4E 1H2",Cafe,20.0,The Beaches
