,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,District
57,Patties Express,QUICK BITES,3.5,36.0,4 Elm Street,Caribbean,15.0,Downtown Yonge
58,Duke Of Richmond,CASUAL DINING,3.7,44.0,20 Queen Street West,British,65.0,Downtown Yonge
59,Avocado Sushi,CASUAL DINING,3.6,34.0,1105 Bay Street,Japanese,35.0,Downtown Yonge
60,Daio,CASUAL DINING,3.9,40.0,45 Carlton Street,Japanese,55.0,Downtown Yonge
61,Colaba Junction,CASUAL DINING,2.9,26.0,801 Bay Street,Indian,25.0,Downtown Yonge
62,deKEFIR,DESSERT PARLOR,3.9,27.0,333 Bay Street,Desserts,20.0,Downtown Yonge
63,Miss Korea,BAR,3.5,28.0,687 Yonge Street,Korean,60.0,Downtown Yonge
64,Roti Roll,QUICK BITES,3.8,21.0,361 Yonge Street,Caribbean,25.0,Downtown Yonge
65,Bar Burrito,QUICK BITES,3.5,41.0,544 Yonge Street,American,25.0,Downtown Yonge
66,St. Louis Bar and Grill,CASUAL DINING,3.4,47.0,595 Bay Street,Bar Food,40.0,Downtown Yonge
67,Amaya Express,QUICK BITES,2.9,36.0,220 Yonge Street,Indian,40.0,Downtown Yonge
68,W Burger Bar,CASUAL DINING,2.9,27.0,10 College Street,American,30.0,Downtown Yonge
69,Golden Griddle,CASUAL DINING,2.7,47.0,45 Carlton Street,American,40.0,Downtown Yonge
70,Popeyes,FAST CASUAL,2.9,43.0,273 Yonge Street,Fast Food,25.0,Downtown Yonge
71,Sushi Club,CASUAL DINING,2.8,41.0,41 Charles Street West,Japanese,40.0,Downtown Yonge
72,California Sandwiches,QUICK BITES,3.1,27.0,435 Yonge Street,American,20.0,Downtown Yonge
73,Slab Burgers,QUICK BITES,3.9,32.0,47 Charles Street W,Fast Food,30.0,Downtown Yonge
74,Sushi Box,CASUAL DINING,3.9,23.0,891 Bay Street,Japanese,35.0,Downtown Yonge
75,Sweet Lulu,CASUAL DINING,3.7,27.0,350 Bay Street,Thai,25.0,Downtown Yonge
76,Thai On Yonge,CASUAL DINING,3.3,15.0,370 Yonge Street,Thai,35.0,Downtown Yonge
77,The Wickson Social,CASUAL DINING,3.6,8.0,5 St Joseph Street,Bar Food,60.0,Downtown Yonge
78,Infuse Cafe,CAFÉ,3.5,19.0,354 Yonge Street,Cafe,10.0,Downtown Yonge
79,Denny's,CASUAL DINING,2.7,25.0,121 Dundas Street West,Diner,30.0,Downtown Yonge
80,Marche Restaurant,CASUAL DINING,3.3,17.0,333 Bay Street,American,50.0,Downtown Yonge
81,Amato Pizza,QUICK BITES,3.5,41.0,429 Yonge Street,Fast Food,25.0,Downtown Yonge
82,The Halal Guys,CASUAL DINING,3.0,21.0,563 Yonge St,Middle Eastern,25.0,Downtown Yonge
83,Szechuan Express,QUICK BITES,2.8,26.0,220 Yonge Street,Chinese,20.0,Downtown Yonge
84,Jimmy The Greek,QUICK BITES,3.3,32.0,220 Yonge Street,Mediterranean,25.0,Downtown Yonge
85,Mick E Fynn's,BAR,3.4,34.0,45 Carlton Street,Bar Food,65.0,Downtown Yonge
86,Trios Bistro - Toronto Marriott Downtown Eaton...,CASUAL DINING,3.8,28.0,525 Bay Street,American,70.0,Downtown Yonge
87,Foodwares Cafe,CAFÉ,3.2,26.0,176 Yonge Street,Cafe,30.0,Downtown Yonge
88,Sushi Garden,CASUAL DINING,3.2,24.0,3 Wellesley Street,Japanese,35.0,Downtown Yonge
89,The Boil Bar,CASUAL DINING,,,664 Yonge Street,Seafood,25.0,Downtown Yonge
90,Sushi Tower,CASUAL DINING,3.7,28.0,"374A Yonge Street, Toronto",Japanese,40.0,Downtown Yonge
91,McDonald's,QUICK BITES,3.2,25.0,220 Yonge Street,Fast Food,25.0,Downtown Yonge
92,Rex Bar & Kitchen,CASUAL DINING,3.3,26.0,635 Bay Street,Bar Food,50.0,Downtown Yonge
93,Coco Fresh Juice & Tea,BEVERAGE SHOP,3.5,9.0,648 Yonge Street,Bubble Cafe,15.0,Downtown Yonge
94,Upper Deck by Fran's,CASUAL DINING,3.3,9.0,20 College Street,American,,Downtown Yonge
95,Burgs Bar & Grill,CASUAL DINING,3.4,22.0,730 Yonge Street,American,50.0,Downtown Yonge
96,Wild Wing,CASUAL DINING,3.2,25.0,431 Yonge Street,Bar Food,50.0,Downtown Yonge
97,Milo's Pita,Other,3.5,18.0,10 Dundas East,Fast Food,25.0,Downtown Yonge
98,Aroma Espresso Bar,CAFÉ,3.3,18.0,1110 Bay Street,Cafe,25.0,Downtown Yonge
99,Ruby Thai,QUICK BITES,2.7,21.0,220 Yonge Street,Thai,25.0,Downtown Yonge
100,Liberty Noodle,QUICK BITES,2.5,25.0,220 Yonge Street,Japanese,20.0,Downtown Yonge
101,Frascati,CASUAL DINING,3.2,24.0,13 Elm Street,Italian,80.0,Downtown Yonge
102,ShiShawarma,QUICK BITES,3.8,22.0,599 Yonge Street,Fast Food,25.0,Downtown Yonge
103,Ho Jan,CASUAL DINING,3.6,20.0,45 Carlton Street,Chinese,40.0,Downtown Yonge
104,Cafe M,CAFÉ,3.6,20.0,672 Yonge Street,Cafe,25.0,Downtown Yonge
105,Ginger,QUICK BITES,3.1,21.0,2 Yonge Street,Vietnamese,30.0,Downtown Yonge
106,Ravi Soups,QUICK BITES,3.4,13.0,9 Charles Street West,Sri Lankan,35.0,Downtown Yonge
107,Villa Madina,QUICK BITES,2.9,19.0,372 Yonge Street,Mediterranean,25.0,Downtown Yonge
108,Swiss Chalet,CASUAL DINING,3.5,24.0,362 Yonge Street,American,40.0,Downtown Yonge
109,Falafel House,QUICK BITES,3.4,18.0,760 Yonge Street,Middle Eastern,20.0,Downtown Yonge
110,South St. Burger,QUICK BITES,3.0,13.0,360 Bay Street,Fast Food,25.0,Downtown Yonge
111,Panago,QUICK BITES,3.9,47.0,44 Gerrard Street West,Fast Food,30.0,Downtown Yonge
112,Beijing Dumplings,CASUAL DINING,3.5,15.0,66 Edward Street,Northern Chinese,35.0,Downtown Yonge
113,Tim Hortons,CAFÉ,2.0,31.0,595 Bay Street,American,20.0,Downtown Yonge
114,Ali Baba's,QUICK BITES,3.4,10.0,357 Yonge Street,Middle Eastern,25.0,Downtown Yonge
115,Chachago,BEVERAGE SHOP,3.3,10.0,3 Elm Street,Bubble Cafe,15.0,Downtown Yonge
116,Sbarro,QUICK BITES,2.9,19.0,220 Yonge Street,Fast Food,25.0,Downtown Yonge
117,Sushi-Q,QUICK BITES,3.1,15.0,220 Yonge Street,Japanese,25.0,Downtown Yonge
118,New York Fries,QUICK BITES,3.7,18.0,220 Yonge Street,Fast Food,15.0,Downtown Yonge
119,Bourbon St. Grill,QUICK BITES,3.4,16.0,220 Yonge Street,American,20.0,Downtown Yonge
120,Hangry Burger,CASUAL DINING,3.0,9.0,435 Yonge Street,American,,Downtown Yonge
121,Dan Ji,CASUAL DINING,3.0,8.0,590 Yonge Street,Korean,30.0,Downtown Yonge
122,The Poke Box,CASUAL DINING,3.7,5.0,36 Toronto Street,Hawaiian,25.0,Downtown Yonge
123,California Thai,Other,3.0,12.0,10 Dundas East,Fast Food,25.0,Downtown Yonge
124,VIP Lounge & Billiards Club,BAR,3.7,10.0,385 Yonge Street,Bar Food,40.0,Downtown Yonge
125,Guschlbauer,BAKERY,3.5,5.0,690 Yonge Street,Bakery,15.0,Downtown Yonge
126,Vino Rosso,CASUAL DINING,3.2,19.0,955 Bay Street,Italian,65.0,Downtown Yonge
127,Hendriks Restaurant & Bar,BAR,3.0,6.0,218 Yonge St,American,50.0,Downtown Yonge
128,Versus Coffee,CAFÉ,3.5,8.0,70 Adelaide Street E,Cafe,15.0,Downtown Yonge
129,"The Captain's Boil, Little Italy",CASUAL DINING,3.4,6.0,671 College Street,Seafood,,Downtown Yonge
130,Green Grotto Tea Room,QUICK BITES,3.0,7.0,35 Saint Joesph,Bubble Cafe,30.0,Downtown Yonge
131,Hero Certified Burgers,QUICK BITES,3.6,16.0,987 Bay Street,American,25.0,Downtown Yonge
132,P'Karos,CAFÉ,3.4,7.0,645 Yonge Street,Cafe,40.0,Downtown Yonge
133,Harvey's,Other,3.0,14.0,10 Dundas Street East Unit #318,Fast Food,25.0,Downtown Yonge
134,Thai Express,QUICK BITES,3.8,19.0,220 Yonge Street,Thai,25.0,Downtown Yonge
135,ShareTea,BEVERAGE SHOP,3.1,5.0,576 Yonge Street,Bubble Cafe,15.0,Downtown Yonge
136,Pita Way,QUICK BITES,3.0,15.0,45 Carlton Street,Fast Food,25.0,Downtown Yonge
137,Booster Juice,BEVERAGE SHOP,2.9,13.0,20 Dundas Street West,Beverages,20.0,Downtown Yonge
138,Crepe de Licious,CAFÉ,3.2,10.0,220 Yonge Street,Cafe,20.0,Downtown Yonge
139,Pita Pure House,QUICK BITES,3.6,12.0,717 Bay Street,Middle Eastern,20.0,Downtown Yonge
140,Taco Bell,QUICK BITES,2.4,11.0,444 Yonge Street,Fast Food,20.0,Downtown Yonge
141,Diners Corner,CASUAL DINING,3.4,11.0,51 St Nicholas Street,Indian,30.0,Downtown Yonge
142,Duck,QUICK BITES,3.3,13.0,444 Yonge Street,Chinese,25.0,Downtown Yonge
143,Market Garden - Chelsea Hotel,CAFÉ,3.5,10.0,33 Gerrard Street West,Healthy Food,40.0,Downtown Yonge
144,Mullins,BAR,2.9,13.0,1033 Bay Street,Bar Food,55.0,Downtown Yonge
145,Second Cup,CAFÉ,3.1,10.0,730 Yonge Street,Cafe,10.0,Downtown Yonge
146,The Carlton,CASUAL DINING,2.8,12.0,30 Carlton Street,American,60.0,Downtown Yonge
147,Freshii,QUICK BITES,3.1,13.0,23 College Street,Healthy Food,30.0,Downtown Yonge
148,Fat Bastard Burrito,QUICK BITES,3.4,14.0,634 Yonge Street,Mexican,25.0,Downtown Yonge
149,Teriyaki Experience,QUICK BITES,3.4,13.0,220 Yonge Street,Japanese,20.0,Downtown Yonge
150,Alio,CASUAL DINING,3.1,12.0,108 Dundas Street West,Italian,70.0,Downtown Yonge
151,Slice of New York,QUICK BITES,3.4,7.0,64 Edward Street,Fast Food,30.0,Downtown Yonge
152,Starbucks,CAFÉ,3.2,13.0,10 Dundas East,Cafe,20.0,Downtown Yonge
153,Godiva Chocolatier,DESSERT PARLOR,3.4,9.0,220 Yonge Street,Desserts,25.0,Downtown Yonge
154,Sushi & BBbop,QUICK BITES,3.1,10.0,384 Yonge Street,Japanese,30.0,Downtown Yonge
155,Mrs. Fields,BAKERY,3.5,15.0,220 Yonge Street,Desserts,15.0,Downtown Yonge
156,T Bar Chelsea Hotel,Other,2.9,10.0,33 Gerrard Street West,Indian,40.0,Downtown Yonge
157,SÜÜP Health Bar,QUICK BITES,,,382 Yonge Street,,20.0,Downtown Yonge
158,Dessert Guru,QUICK BITES,,,"29B St. Joseph Street, Toronto M4Y",Desserts,25.0,Downtown Yonge
159,Subway,QUICK BITES,2.1,18.0,595 Bay Street,Fast Food,20.0,Downtown Yonge
160,OPA! Of Greece,Other,2.7,11.0,10 Dundas East,Mediterranean,25.0,Downtown Yonge
161,Pizzaiolo,QUICK BITES,3.5,12.0,550 Yonge Street,Fast Food,30.0,Downtown Yonge
162,Pretzel Maker,QUICK BITES,3.6,13.0,10 Dundas East,Fast Food,10.0,Downtown Yonge
163,Butter Baker,BAKERY,,,120 Dundas Street West,Bakery,20.0,Downtown Yonge
164,Wendy's,FAST FOOD,3.5,11.0,475 Yonge Street,Fast Food,20.0,Downtown Yonge
165,Yogen Früz,DESSERT PARLOR,2.7,8.0,220 Yonge Street,Desserts,15.0,Downtown Yonge
166,Fusia Asian Kitchen,QUICK BITES,3.0,9.0,595 Bay Street,Chinese,25.0,Downtown Yonge
167,Aura Sushi,QUICK BITES,2.7,11.0,384 Yonge Street,Japanese,35.0,Downtown Yonge
168,The Original San Francesco,QUICK BITES,3.1,5.0,736 Bay Street,Italian,25.0,Downtown Yonge
169,650 Cafe Bistro,CASUAL DINING,2.9,7.0,650 Bay Street,Cafe,35.0,Downtown Yonge
170,Feta & Olives / Yogen Früz,QUICK BITES,3.5,11.0,595 Bay Street,Fast Food,25.0,Downtown Yonge
171,KFC,QUICK BITES,2.6,11.0,444 Yonge Street,Fast Food,25.0,Downtown Yonge
172,Yummy Zone,QUICK BITES,,,895 Bay Street,Chinese,25.0,Downtown Yonge
173,Fresh Start,CAFÉ,3.4,6.0,655 Bay Street,Cafe,25.0,Downtown Yonge
174,Baskin Robbins,DESSERT PARLOR,2.4,8.0,220 Yonge Street,Desserts,15.0,Downtown Yonge
175,Real Fruit Bubble Tea,BEVERAGE SHOP,3.9,4.0,10 Dundas East,Bubble Cafe,15.0,Downtown Yonge
176,Fit For Life,QUICK BITES,3.2,9.0,595 Bay Street,Healthy Food,25.0,Downtown Yonge
177,Thirty Bar & Lounge,BAR,3.3,9.0,30 Carlton Street,Bar Food,40.0,Downtown Yonge
178,Presse Cafe,CAFÉ,3.0,9.0,875 Bay Street,Cafe,25.0,Downtown Yonge
179,Extreme Pita,QUICK BITES,2.7,9.0,220 Yonge Street,Fast Food,25.0,Downtown Yonge
180,Baroli Caffe,CAFÉ,3.6,10.0,220 Yonge Street,Cafe,20.0,Downtown Yonge
181,Kin-Kin Bakery & Bubble Tea,BAKERY,,,595 Bay Street,Bakery,15.0,Downtown Yonge
182,KaKa All You Can Eat,CASUAL DINING,,,655 Bay Street Toronto,Japanese,25.0,Downtown Yonge
183,Pizza Pizza,QUICK BITES,2.4,8.0,346 Yonge Street,Fast Food,25.0,Downtown Yonge
184,7 Baker,BAKERY,,,3 Wellesley Street West,Bakery,15.0,Downtown Yonge
185,WA Bar,BAR,2.8,8.0,3 Isabella Street,Bar Food,70.0,Downtown Yonge
186,Omni Eatery,CAFÉ,2.5,7.0,24 Wellesley Street West,Asian,20.0,Downtown Yonge
187,Vegan Bear,FAST CASUAL,,,335 Yonge St,Fast Food,20.0,Downtown Yonge
188,Froshberg Gelato,DESSERT PARLOR,2.3,7.0,220 Yonge Street,Desserts,15.0,Downtown Yonge
189,KATANA on Bay,CASUAL DINING,,,333 Bay Street,Asian,75.0,Downtown Yonge
190,Bar Verde,CASUAL DINING,,,260 Yonge Street,American,45.0,Downtown Yonge
191,Mr. Sub,QUICK BITES,2.5,6.0,494 Yonge Street,Fast Food,25.0,Downtown Yonge
192,Timothy's,CAFÉ,2.5,6.0,483 Bay Street,Cafe,25.0,Downtown Yonge
