,Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,District
545,Focal Resto Lounge,CASUAL DINING,,,592 Queen St W,,25.0,Entertainment District
546,Loch & Quay,CASUAL DINING,,,390 Queens Quay West Toronto,American,30.0,Entertainment District
547,YunShang Rice Noodle,CASUAL DINING,,,414 Dundas St W,Chinese,25.0,Entertainment District
548,Crepe T.O.,DESSERT PARLOR,,,52 Church Street,French,15.0,Entertainment District
549,Entertainment District,Other,,,CUISINES:,Fast Food,15.0,Entertainment District
550,Tim Hortons,CAFÉ,,,180 Wellington Street West,Cafe,20.0,Entertainment District
551,Tim Hortons,CAFÉ,,,120 Bremner Boulevard,Cafe,20.0,Entertainment District
552,Tim Hortons,CAFÉ,,,150 John Street Unit 102,Cafe,20.0,Entertainment District
553,Tim Hortons,CAFÉ,,,1 Blue Jays Way,Cafe,20.0,Entertainment District
554,Paramount Lebanese Kitchen,CASUAL DINING,,,141 Spadina Avenue,Lebanese,25.0,Entertainment District
555,Seven Lives - Tacos Y Mariscos,QUICK BITES,4.9,310.0,69 Kensington Avenue,Mexican,25.0,Kensington-Chinatown
556,Rol San,CASUAL DINING,4.1,380.0,323 Spadina Avenue,Chinese,45.0,Kensington-Chinatown
557,Mother's Dumplings,CASUAL DINING,4.1,279.0,421 Spadina Avenue,Northern Chinese,30.0,Kensington-Chinatown
558,Millie Creperie,DESSERT PARLOR,4.4,124.0,161 Baldwin Street,Desserts,30.0,Kensington-Chinatown
559,El Trompo,QUICK BITES,4.4,247.0,277 Augusta Avenue,Mexican,45.0,Kensington-Chinatown
560,Pho Hung,CASUAL DINING,4.1,287.0,350 Spadina Avenue,Vietnamese,35.0,Kensington-Chinatown
561,Wanda's Pie In The Sky,BAKERY,4.2,178.0,287 Augusta Avenue,Bakery,25.0,Kensington-Chinatown
562,Aji Sai,CASUAL DINING,3.9,320.0,467 Queen Street W,Japanese,70.0,Kensington-Chinatown
563,King's Noodle,CASUAL DINING,4.4,196.0,296 Spadina Avenue,Chinese,35.0,Kensington-Chinatown
564,Hibiscus Cafe,CAFÉ,4.4,115.0,238 Augusta Avenue,Cafe,15.0,Kensington-Chinatown
565,The Burger's Priest,QUICK BITES,4.0,226.0,463 Queen Street West,American,30.0,Kensington-Chinatown
566,Dumpling House,CASUAL DINING,4.4,159.0,328 Spadina Avenue,Northern Chinese,25.0,Kensington-Chinatown
567,Burgernator,QUICK BITES,4.3,142.0,269 Augusta Avenue,American,35.0,Kensington-Chinatown
568,Pizzeria Via Mercanti,CASUAL DINING,4.2,159.0,188 Augusta Avenue,Italian,50.0,Kensington-Chinatown
569,Big Fat Burrito,QUICK BITES,4.4,236.0,285 Augusta Avenue,Mexican,35.0,Kensington-Chinatown
570,Rasta Pasta,CASUAL DINING,4.2,94.0,61 Kensington Avenue,Caribbean,25.0,Kensington-Chinatown
571,Jumbo Empanadas,QUICK BITES,4.3,155.0,245 Augusta Avenue,Latin American,15.0,Kensington-Chinatown
572,The Dirty Bird,QUICK BITES,3.8,71.0,79 Kensington Avenue,Fast Food,30.0,Kensington-Chinatown
573,Asian Legend,CASUAL DINING,4.0,163.0,418 Dundas Street West,Northern Chinese,40.0,Kensington-Chinatown
574,R&D,CASUAL DINING,3.6,66.0,241 Spadina Avenue,Chinese,100.0,Kensington-Chinatown
575,Nguyen Huong,QUICK BITES,4.2,66.0,332 Spadina Avenue,Vietnamese,10.0,Kensington-Chinatown
576,Gushi,QUICK BITES,3.9,38.0,707 Dundas Street West,Japanese,25.0,Kensington-Chinatown
577,Buddha's Vegetarian Restaurant,CASUAL DINING,4.6,95.0,666 Dundas Street West,Chinese,25.0,Kensington-Chinatown
578,Rosewood,CASUAL DINING,3.5,61.0,463 Dundas Street West,Chinese,30.0,Kensington-Chinatown
579,King's Café,CASUAL DINING,4.1,107.0,192 Augusta Avenue,Chinese,35.0,Kensington-Chinatown
580,Moo Frites,QUICK BITES,3.8,63.0,178 Baldwin Street,Fast Food,20.0,Kensington-Chinatown
581,Pho Pasteur,CASUAL DINING,4.1,84.0,525 Dundas Street West,Vietnamese,30.0,Kensington-Chinatown
582,Pancho's Bakery,DESSERT PARLOR,4.0,70.0,214 Augusta Avenue,Desserts,20.0,Kensington-Chinatown
583,New Ho King,CASUAL DINING,3.8,126.0,410 Spadina Avenue,Chinese,35.0,Kensington-Chinatown
584,Moonbean,CAFÉ,4.2,100.0,30 Andrew Street,Cafe,20.0,Kensington-Chinatown
585,Nirvana,CASUAL DINING,3.8,104.0,434 College Street,Asian,50.0,Kensington-Chinatown
586,Stay,CAFÉ,3.6,46.0,388 Spadina Avenue,Cafe,30.0,Kensington-Chinatown
587,Urban Herbivore,QUICK BITES,4.0,89.0,64 Oxford Street,Healthy Food,30.0,Kensington-Chinatown
588,Peoples Eatery,CASUAL DINING,3.8,55.0,307 Spadina Avenue,Asian,50.0,Kensington-Chinatown
589,Fresco's Fish And Chips,CASUAL DINING,4.0,61.0,213 Augusta Avenue,British,50.0,Kensington-Chinatown
590,Ka Chi,CASUAL DINING,4.0,89.0,414 Dundas Street West,Korean,40.0,Kensington-Chinatown
591,Bacon Nation,QUICK BITES,3.4,49.0,170 Spadina Avenue,Fast Food,30.0,Kensington-Chinatown
592,Chinese Traditional Bun,CASUAL DINING,3.8,46.0,536 Dundas Street West,Northern Chinese,30.0,Kensington-Chinatown
593,Fika,CAFÉ,3.8,55.0,28 Kensington Avenue,Cafe,25.0,Kensington-Chinatown
594,Goldstone Noodle,CASUAL DINING,4.2,83.0,266 Spadina Avenue,Chinese,30.0,Kensington-Chinatown
595,Pho Xe Lua,CASUAL DINING,3.6,85.0,254 Spadina Avenue,Vietnamese,30.0,Kensington-Chinatown
596,Manic Coffee,CAFÉ,4.1,77.0,426 College Street,Cafe,30.0,Kensington-Chinatown
597,Butter Avenue,DESSERT PARLOR,3.9,49.0,477 Queen Street West,Desserts,20.0,Kensington-Chinatown
598,Tortilla Flats,CASUAL DINING,3.2,98.0,458 Queen Street West,American,40.0,Kensington-Chinatown
599,Taste Of China,CASUAL DINING,3.6,59.0,338 Spadina Avenue,Chinese,45.0,Kensington-Chinatown
600,NU Bügel,BAKERY,3.8,60.0,240 Augusta Avenue,Bakery,25.0,Kensington-Chinatown
601,Krepesz,CAFÉ,3.8,44.0,253 Augusta Avenue,Cafe,35.0,Kensington-Chinatown
602,Jimmy's Coffee,CAFÉ,3.7,50.0,191 Baldwin Street,Cafe,15.0,Kensington-Chinatown
603,Otto's Berlin Döner,QUICK BITES,3.4,39.0,256 Augusta Avenue,German,20.0,Kensington-Chinatown
604,The Red Lounge,CASUAL DINING,3.8,71.0,444 Spadina Avenue,Bar Food,25.0,Kensington-Chinatown
605,Café Pamenar,BAR,4.0,51.0,307 Augusta Avenue,Cafe,30.0,Kensington-Chinatown
606,Dim Sum King,CASUAL DINING,3.2,47.0,421 Dundas Street West,Chinese,40.0,Kensington-Chinatown
607,Furama,BAKERY,4.0,55.0,250 Spadina Avenue,Bakery,20.0,Kensington-Chinatown
608,Sky Dragon,CASUAL DINING,3.3,58.0,280 Spadina Avenue,Chinese,40.0,Kensington-Chinatown
609,Bún Saigon,CASUAL DINING,3.8,52.0,252 Spadina Avenue,Vietnamese,25.0,Kensington-Chinatown
610,To Ne Sushi,CASUAL DINING,3.5,39.0,414 Queen Street West,Japanese,40.0,Kensington-Chinatown
611,Toronto Popcorn Company,QUICK BITES,3.7,30.0,147 Baldwin Street,Fast Food,15.0,Kensington-Chinatown
612,The Clubhouse Sandwich Shop,QUICK BITES,3.9,36.0,455 Spadina Avenue,American,25.0,Kensington-Chinatown
613,Jackpot Chicken Rice,CASUAL DINING,2.9,17.0,318 Spadina Avenue,Chinese,25.0,Kensington-Chinatown
614,Tequila Bookworm,BAR,3.5,51.0,512 Queen Street West,American,40.0,Kensington-Chinatown
615,Sanagan's Meat Locker,QUICK BITES,3.7,46.0,176 Baldwin Street,Deli,25.0,Kensington-Chinatown
616,One Hour,CAFÉ,3.3,32.0,435 Spadina Avenue,Cafe,35.0,Kensington-Chinatown
617,Greens Vegetarian,CASUAL DINING,3.3,25.0,638 Dundas Street West,Chinese,35.0,Kensington-Chinatown
618,Amadeu's,CASUAL DINING,3.5,49.0,184 Augusta Avenue,Portuguese,70.0,Kensington-Chinatown
619,Supermarket,CASUAL DINING,3.8,65.0,268 Augusta Avenue,Bar Food,60.0,Kensington-Chinatown
620,Pancho Y Emiliano,CASUAL DINING,3.6,47.0,200 Augusta Avenue,Mexican,40.0,Kensington-Chinatown
621,Loka,CASUAL DINING,3.6,17.0,620 Queen Street West,Pacific Northwest,60.0,Kensington-Chinatown
622,Sugar Marmalade,QUICK BITES,3.3,31.0,280 Spadina Avenue,Desserts,25.0,Kensington-Chinatown
623,Trinity Common,BAR,3.5,19.0,303 Augusta Avenue,Bar Food,40.0,Kensington-Chinatown
624,Dolce Gelato,DESSERT PARLOR,3.7,42.0,234 Augusta Avenue,Desserts,20.0,Kensington-Chinatown
625,Kanto,QUICK BITES,3.7,25.0,707 Dundas Street West,Filipino,20.0,Kensington-Chinatown
626,La Tortilleria,CASUAL DINING,3.8,46.0,198 Augusta Avenue,Mexican,30.0,Kensington-Chinatown
627,Simon Sushi,CASUAL DINING,4.1,79.0,409 Spadina Avenue,Japanese,40.0,Kensington-Chinatown
628,Cosmic Treats,DESSERT PARLOR,3.6,18.0,207 Augusta Avenue,Desserts,35.0,Kensington-Chinatown
629,Petit Nuage,DESSERT PARLOR,3.7,15.0,707 Dundas Street West,Desserts,15.0,Kensington-Chinatown
630,Emporium Latino,QUICK BITES,3.9,19.0,243 Augusta Avenue,Latin American,20.0,Kensington-Chinatown
631,Templeton's,BAR,3.5,32.0,319 Augusta Avenue,,50.0,Kensington-Chinatown
632,Our Spot,CAFÉ,3.6,31.0,180 Baldwin Street,Cafe,25.0,Kensington-Chinatown
633,Canton Chilli,CASUAL DINING,3.3,36.0,418 Spadina Avenue,Chinese,30.0,Kensington-Chinatown
634,Banh Mi Ba Le,QUICK BITES,3.4,22.0,538 Dundas Street West,Vietnamese,15.0,Kensington-Chinatown
635,Blackbird Baking Co.,BAKERY,3.8,27.0,172 Baldwin Street,Bakery,15.0,Kensington-Chinatown
636,The Owl Of Minerva,CASUAL DINING,3.5,37.0,280 Spadina Avenue,Korean,35.0,Kensington-Chinatown
637,AAamazing Salad,QUICK BITES,3.4,5.0,160 Baldwin Street unit 2,Healthy Food,25.0,Kensington-Chinatown
638,Homemade Ramen,CASUAL DINING,3.3,16.0,263 Spadina Avenue,Northern Chinese,30.0,Kensington-Chinatown
639,Torteria San Cosme,CASUAL DINING,3.4,18.0,181 Baldwin Street,Mexican,30.0,Kensington-Chinatown
640,Top Gun Steak,QUICK BITES,3.3,22.0,251 Augusta Avenue,American,25.0,Kensington-Chinatown
641,I Deal Coffee,CAFÉ,3.6,42.0,84 Nassau Street,Cafe,20.0,Kensington-Chinatown
642,Golden Patty,QUICK BITES,3.6,35.0,187 Baldwin Street,Caribbean,15.0,Kensington-Chinatown
643,Bunner's,BAKERY,3.7,16.0,244 Augusta Avenue,Desserts,15.0,Kensington-Chinatown
644,Tibet Cafe & Bar,CASUAL DINING,3.7,23.0,51 Kensington Avenue,,30.0,Kensington-Chinatown
645,OM Grilled Cheese,QUICK BITES,3.5,8.0,2 Nassau Street,American,25.0,Kensington-Chinatown
646,Celebrity Hotpot,CASUAL DINING,3.6,26.0,254 Spadina Avenue,Chinese,45.0,Kensington-Chinatown
647,North Poké,FAST CASUAL,3.7,20.0,179 Baldwin Street,Hawaiian,10.0,Kensington-Chinatown
648,Ronnie's Local 069,BAR,3.4,28.0,69 Nassau Street,Bar Food,55.0,Kensington-Chinatown
649,Top Gun Burgers,QUICK BITES,3.4,8.0,201 Augusta Avenue,American,30.0,Kensington-Chinatown
650,Morals Village,CASUAL DINING,3.0,14.0,436 Dundas Street West 1G6,Chinese,60.0,Kensington-Chinatown
651,Sweet Olenka's,DESSERT PARLOR,3.6,16.0,225 Augusta Avenue,Desserts,15.0,Kensington-Chinatown
652,El Arepazo,QUICK BITES,3.4,13.0,181 Augusta Avenue,Fast Food,25.0,Kensington-Chinatown
653,KOS Restaurant,CASUAL DINING,3.7,28.0,61 Bellevue Avenue,Diner,30.0,Kensington-Chinatown
654,Nom Nom Nom Crepes,QUICK BITES,3.4,16.0,707 Dundas Street West,Desserts,20.0,Kensington-Chinatown
655,Hong Kong Bistro Cafe,CASUAL DINING,3.2,20.0,472 Dundas Street West,Chinese,35.0,Kensington-Chinatown
656,Aroma Espresso Bar,CAFÉ,3.1,26.0,535 Queen Street West,Cafe,25.0,Kensington-Chinatown
657,Last Temptation,CASUAL DINING,3.4,33.0,12 Kensington Avenue,Bar Food,45.0,Kensington-Chinatown
658,Thai Country Kitchen,CASUAL DINING,3.5,21.0,412 Spadina Avenue,Thai,25.0,Kensington-Chinatown
659,El Rey Mezcal Bar,FAST CASUAL,3.2,8.0,"2A Kensington Ave, Toronto",Mexican,,Kensington-Chinatown
660,Mars Food,CASUAL DINING,2.8,28.0,432 College Street,Diner,40.0,Kensington-Chinatown
661,Aloette,CASUAL DINING,3.5,10.0,163 Spadina Avenue,French,60.0,Kensington-Chinatown
662,Super Noodle Express,CASUAL DINING,3.1,8.0,358 Spadina Avenue,Northern Chinese,30.0,Kensington-Chinatown
663,98 Aroma,CASUAL DINING,3.0,11.0,440 Spadina Avenue,Chinese,25.0,Kensington-Chinatown
664,Mashion Bakery,BAKERY,3.6,17.0,345 Spadina Avenue,Bakery,10.0,Kensington-Chinatown
665,El Gordo,QUICK BITES,3.6,15.0,214 Augusta Avenue,Latin American,15.0,Kensington-Chinatown
666,3.4,Other,,,Kensington-Chinatown,Caribbean,,Kensington-Chinatown
667,Hungary Thai,CASUAL DINING,3.2,35.0,196 Augusta Avenue,Thai,45.0,Kensington-Chinatown
668,Via Mercanti Food Shop,QUICK BITES,3.2,8.0,209 Augusta Avenue M5T2L4 2L4,Italian,20.0,Kensington-Chinatown
669,Nak Won,CASUAL DINING,3.0,19.0,471 Dundas Street West,Korean,50.0,Kensington-Chinatown
670,Graffiti's Bar & Grill,BAR,3.7,16.0,170 Baldwin Street,Bar Food,40.0,Kensington-Chinatown
671,Amato Pizza,QUICK BITES,3.1,27.0,380 College Street,Fast Food,25.0,Kensington-Chinatown
672,Spot Crepes & Tea,CASUAL DINING,3.7,7.0,385 Spadina Avenue,Cafe,30.0,Kensington-Chinatown
673,Romeo's Juice Bar,BEVERAGE SHOP,3.5,13.0,285 Augusta Avenue,Beverages,20.0,Kensington-Chinatown
674,Taste of Yunnan,CASUAL DINING,2.9,13.0,438 Dundas Street West,Chinese,25.0,Kensington-Chinatown
675,Rick's Cafe,CAFÉ,3.4,8.0,281 Augusta Avenue,Cafe,20.0,Kensington-Chinatown
676,Dumpling King,CASUAL DINING,3.4,13.0,442 Dundas Street West,Northern Chinese,25.0,Kensington-Chinatown
677,Casa Coffee,CAFÉ,3.6,13.0,235 Augusta Avenue,Cafe,15.0,Kensington-Chinatown
678,Anne's Magic Kitchen,CASUAL DINING,3.3,10.0,414 Dundas Street West,Northern Chinese,30.0,Kensington-Chinatown
679,El Rancho,CASUAL DINING,3.4,22.0,430 College Street,Latin American,75.0,Kensington-Chinatown
680,Pizzaiolo,QUICK BITES,3.3,26.0,624 Queen Street West,Fast Food,30.0,Kensington-Chinatown
681,Latin Taste,QUICK BITES,3.3,10.0,200 Baldwin Street,Latin America,15.0,Kensington-Chinatown
682,New Hong Fatt,CASUAL DINING,3.1,15.0,443 Dundas Street West,Chinese,25.0,Kensington-Chinatown
683,Jerk Spot,QUICK BITES,2.9,14.0,149 Baldwin Street,Indian,25.0,Kensington-Chinatown
684,Popeyes,QUICK BITES,3.6,19.0,267 College Street,Fast Food,25.0,Kensington-Chinatown
685,Eative,DESSERT PARLOR,3.4,7.0,228 Augusta Avenue,Desserts,10.0,Kensington-Chinatown
686,Pokito,CASUAL DINING,3.6,8.0,420 Queen Street W,Seafood,20.0,Kensington-Chinatown
687,Sichuan Landscape,CASUAL DINING,2.7,13.0,416 Spadina Avenue,Chinese,45.0,Kensington-Chinatown
688,Saigon Lotus Restaurant,CASUAL DINING,3.6,11.0,6 St. Andrew Street,Vietnamese,25.0,Kensington-Chinatown
689,Banh Mi Bar,CASUAL DINING,3.3,6.0,189 Augusta Aveue,Vietnamese,25.0,Kensington-Chinatown
690,The Hideout,Other,2.8,17.0,484 Queen Street West,American,45.0,Kensington-Chinatown
691,North East Chinese Restaurant,CASUAL DINING,3.8,11.0,476 Dundas Street West,Northern Chinese,30.0,Kensington-Chinatown
692,Pow Wow Cafe,CAFÉ,3.6,6.0,213 Augusta Avenue,Cafe,25.0,Kensington-Chinatown
693,Thirsty & Miserable,BAR,3.1,15.0,2 Baldwin Street,Bar Food,30.0,Kensington-Chinatown
694,The Embassy Bar,BAR,3.1,12.0,223 Augusta Avenue,Bar Food,30.0,Kensington-Chinatown
695,Hey Noodles,CASUAL DINING,3.2,5.0,478 Dundas Street West,Chinese,25.0,Kensington-Chinatown
696,Cafe Novo,CAFÉ,3.1,5.0,254 Augusta Avenue,Cafe,20.0,Kensington-Chinatown
697,Canteen,CASUAL DINING,3.0,11.0,280 Spadina Avenue,Chinese,25.0,Kensington-Chinatown
698,Segovia,QUICK BITES,3.5,10.0,218 Augusta Avenue,Brazilian,10.0,Kensington-Chinatown
699,Levetto,CASUAL DINING,3.3,4.0,382 Spadina Avenue,Italian,45.0,Kensington-Chinatown
700,The Den,CASUAL DINING,,,423 College Street,Spanish,50.0,Kensington-Chinatown
701,Mare Pizzeria,QUICK BITES,3.2,12.0,185 Baldwin Street,Fast Food,25.0,Kensington-Chinatown
702,Hong Kong Island Bakery,BAKERY,3.1,4.0,336 Spadina Avenue,Bakery,10.0,Kensington-Chinatown
703,Easy Drink Easy Go,CAFÉ,,,482 Dundas Street West,Beverages,25.0,Kensington-Chinatown
704,Wafels & More,FAST CASUAL,3.6,7.0,237 Augusta Avenue,Belgian,10.0,Kensington-Chinatown
705,Sang Ho,CASUAL DINING,3.7,11.0,536 Dundas Street West,Chinese,35.0,Kensington-Chinatown
706,Round Venue,CASUAL DINING,3.2,6.0,152 Augusta Avenue,American,60.0,Kensington-Chinatown
707,Don't Call Me Cupcake,DESSERT PARLOR,2.3,10.0,160 Baldwin Street,Bakery,20.0,Kensington-Chinatown
708,Master Mix Hotpot,CASUAL DINING,2.0,8.0,"261B Spadina Avenue, Toronto",Chinese,45.0,Kensington-Chinatown
709,Ozzy's Burgers,QUICK BITES,3.2,8.0,66 Nassau Street,American,15.0,Kensington-Chinatown
710,Cookie Martinez,QUICK BITES,3.5,10.0,707 Dundas Street West,Latin American,20.0,Kensington-Chinatown
711,Juicy Dumpling,CASUAL DINING,3.2,4.0,280 Spadina Ave,Asian,25.0,Kensington-Chinatown
712,The Witches Brew,BEVERAGE SHOP,3.4,4.0,160 Baldwin Street,Beverages,20.0,Kensington-Chinatown
713,Veggie D'Light,QUICK BITES,3.4,4.0,160 Baldwin Street,Caribbean,25.0,Kensington-Chinatown
714,Ten Ren's Tea,BEVERAGE SHOP,3.0,12.0,454 Dundas Street West,Bubble Cafe,15.0,Kensington-Chinatown
715,The Organic Press,BEVERAGE SHOP,3.6,7.0,257 Augusta Avenue,Beverages,20.0,Kensington-Chinatown
716,Average Joe's,QUICK BITES,3.6,10.0,161 Baldwin Street,American,25.0,Kensington-Chinatown
717,Dundas Spring Garden,CASUAL DINING,3.3,10.0,434 Dundas Street West,Chinese,40.0,Kensington-Chinatown
718,Poetry Jazz Cafe,BAR,3.8,9.0,224 Augusta Avenue,Bar Food,45.0,Kensington-Chinatown
719,Grk Ygrt,DESSERT PARLOR,3.5,7.0,291 Augusta Avenue,Desserts,,Kensington-Chinatown
720,Seven Lives Paleteria,DESSERT PARLOR,,,72 Kensington Avenue,Desserts,30.0,Kensington-Chinatown
721,Huibing Restaurant,CASUAL DINING,3.4,6.0,440 Spadina Avenue,Northern Chinese,30.0,Kensington-Chinatown
722,KFC,QUICK BITES,3.3,12.0,466 Queen Street West,Fast Food,25.0,Kensington-Chinatown
723,The Boat,BAR,3.1,10.0,158 Augusta Avenue,Bar Food,40.0,Kensington-Chinatown
724,Kensington Lodge,BAR,2.4,8.0,21 Kensington Avenue,Bar Food,40.0,Kensington-Chinatown
725,Chinese Bakery,BAKERY,3.3,4.0,433 Dundas Street West,Bakery,10.0,Kensington-Chinatown
726,Taco Bell,QUICK BITES,2.8,10.0,466 Queen Street West,Fast Food,20.0,Kensington-Chinatown
727,Subway,QUICK BITES,3.5,10.0,458 Spadina Avenue,Fast Food,20.0,Kensington-Chinatown
728,Dairy Queen (Treat),DESSERT PARLOR,3.6,11.0,280 Spadina Avenue,Desserts,20.0,Kensington-Chinatown
729,Thai Express,QUICK BITES,3.5,7.0,580 Queen Street West,Thai,25.0,Kensington-Chinatown
730,Honour Snack Bar,BAR,2.3,9.0,"602A Dundas Street West, Toronto M5T1H7",Bar Food,25.0,Kensington-Chinatown
731,T&T Roti,QUICK BITES,3.3,10.0,707 Dundas Street West,Caribbean,20.0,Kensington-Chinatown
732,Kung Fu Duck,QUICK BITES,3.7,5.0,419 Spadina Avenue,Northern Chinese,25.0,Kensington-Chinatown
733,Falafel Queen,QUICK BITES,2.3,9.0,576 Queen Street West,Fast Food,25.0,Kensington-Chinatown
734,YooJ Express,QUICK BITES,2.4,8.0,280 Spadina Avenue,Chinese,25.0,Kensington-Chinatown
735,Jenny Restaurant,BAR,2.3,9.0,65 Kensington Avenue,Bar Food,40.0,Kensington-Chinatown
736,Hanabusa Cafe,CAFÉ,3.4,5.0,77 Kensington Ave,Cafe,30.0,Kensington-Chinatown
737,Papaya Island,BEVERAGE SHOP,3.9,8.0,516 Queen Street West,Beverages,25.0,Kensington-Chinatown
738,Strange Love Coffee,CAFÉ,,,101 Spadina Ave,Cafe,20.0,Kensington-Chinatown
739,August 8,CASUAL DINING,,,331 Spadina Ave,COST FOR TWO:,55.0,Kensington-Chinatown
740,Tea Shop 168,BEVERAGE SHOP,2.8,4.0,261 Spadina Avenue,Bubble Cafe,25.0,Kensington-Chinatown
741,Mazar's Kitchen,CASUAL DINING,,,707 Dundas Street W,Afghan,,Kensington-Chinatown
742,Ding Tea,BEVERAGE SHOP,2.6,5.0,449 Dundas Street West,Bubble Cafe,10.0,Kensington-Chinatown
743,Oh My Lard,QUICK BITES,,,707 Dundas Street West,BBQ,20.0,Kensington-Chinatown
744,Tung Tung,QUICK BITES,,,280 Spadina Avenue,Desserts,10.0,Kensington-Chinatown
745,iBento,QUICK BITES,3.5,6.0,235 College Street,Japanese,25.0,Kensington-Chinatown
746,Gdous Juicy Chicken House,QUICK BITES,,,221 Spadina Avenue,Chinese,10.0,Kensington-Chinatown
747,Macho Taco,QUICK BITES,,,214 Augusta Avenue,Fast Food,10.0,Kensington-Chinatown
748,Pappa Roti,CAFÉ,,,270 Spadina Ave,Cafe,20.0,Kensington-Chinatown
749,Spice And Aroma,CASUAL DINING,,,387 Spadina Avenue,Chinese,25.0,Kensington-Chinatown
750,Detour Bar,BAR,2.6,5.0,2 Baldwin Street,Bar Food,55.0,Kensington-Chinatown
751,Kensington Brewing Company,Other,,,299 Augusta Ave,Beverages,30.0,Kensington-Chinatown
752,Coalition,BAR,2.6,5.0,"349A College Street, Toronto",Bar Food,55.0,Kensington-Chinatown
753,Cool N2 Ice Cream,DESSERT PARLOR,,,412 Queen Street West,Desserts,10.0,Kensington-Chinatown
754,Chinatown Centre Delight,Other,,,222 Spadina Avenue,Chinese,15.0,Kensington-Chinatown
755,Hyacinth's Kitchen,QUICK BITES,2.6,4.0,707 Dundas Street West,Caribbean,20.0,Kensington-Chinatown
756,Tech Zone Bubble Tea,BEVERAGE SHOP,,,326 Spadina Avenue,Bubble Cafe,10.0,Kensington-Chinatown
757,Nest,Other,,,423 College Street,Bar Food,20.0,Kensington-Chinatown
758,Wrestlers,CAFÉ,,,198 Augusta Avenue,Coffee and Cafe,,Kensington-Chinatown
759,Osmow's,QUICK BITES,,,351 College Street,Mediterranean,15.0,Kensington-Chinatown
760,Ma La Chi Huo,QUICK BITES,,,346 Spadina Avenue,Northern Chinese,10.0,Kensington-Chinatown
761,XinDe Ji,Other,,,222 Spadina Avenue,Chinese,15.0,Kensington-Chinatown
762,Pizza Nova,QUICK BITES,,,267 College Street,Fast Food,30.0,Kensington-Chinatown
763,Fancy Pig,QUICK BITES,,,285 Augusta Avenue,American,20.0,Kensington-Chinatown
764,Jiu Jiu Ya Bo,QUICK BITES,,,222 Spadina Avenue,Northern Chinese,10.0,Kensington-Chinatown
765,Man Wa Cafe,CAFÉ,,,222 Spadina Avenue,Cafe,15.0,Kensington-Chinatown
766,The Original One,BEVERAGE SHOP,,,707 Dundas Street West,Bubble Cafe,15.0,Kensington-Chinatown
767,Fudao Noodle House,CASUAL DINING,,,358 Spadina Ave,Chinese,25.0,Kensington-Chinatown
768,Yummy Refills,QUICK BITES,,,280 Spadina Avenue,Bubble Cafe,10.0,Kensington-Chinatown
769,Bo De Duyen,BEVERAGE SHOP,,,188 Spadina Avenue,Bubble Cafe,15.0,Kensington-Chinatown
770,Big Trouble Pizza,BAR,,,235 Spadina,American,40.0,Kensington-Chinatown
771,K Food,QUICK BITES,,,707 Dundas Street West,Korean,15.0,Kensington-Chinatown
772,Shi Miaodao Yunnan Rice Noodle,CASUAL DINING,,,318 Spadina Ave,Malaysian,40.0,Kensington-Chinatown
773,Shun Yuen Food,BEVERAGE SHOP,,,285 Spadina Avenue,Beverages,10.0,Kensington-Chinatown
774,THE 6 JUICES,Other,,,214 Augusta Avenue,Healthy Food,25.0,Kensington-Chinatown
775,Tree Top African Cafe,CAFÉ,,,620 Dundas Street West,Cafe,30.0,Kensington-Chinatown
776,Tim Hortons,CAFÉ,,,399 Bathurst Street,American,20.0,Kensington-Chinatown
777,Tumi,QUICK BITES,,,249 Augusta Avenue,Latin American,,Kensington-Chinatown
778,Bunz Urban Cuisine,QUICK BITES,,,707 Dundas Street West,Fast Food,25.0,Kensington-Chinatown
779,La Sabrosa,BEVERAGE SHOP,,,214 Augusta Avenue,Beverages,,Kensington-Chinatown
780,Green Tea Restaurant Downtown,CASUAL DINING,,,261 Spadina Avenue Upper Level,Chinese,25.0,Kensington-Chinatown
781,Citywok Kitchen,Other,,,222 Spadina Avenue,Chinese,15.0,Kensington-Chinatown
782,8090 KTV,BAR,,,530 Dundas Street West,Bar Food,40.0,Kensington-Chinatown
783,Souppe Shoppe,QUICK BITES,,,707 Dundas Street West,American,20.0,Kensington-Chinatown
784,Blintz and a Bong,CAFÉ,,,Opening Soon,Cafe,20.0,Kensington-Chinatown
785,Mazar's Kitchen,CASUAL DINING,,,707 Dundas Street West,Afghan,25.0,Kensington-Chinatown
786,Lola,BAR,,,40 Kensington Avenue,Bar Food,30.0,Kensington-Chinatown
787,Beer 2 Beer,CASUAL DINING,,,319 Augusta Avenue,American,40.0,Kensington-Chinatown
788,Livelihood Cafe,CAFÉ,,,254 Augusta Avenue,Cafe,15.0,Kensington-Chinatown
789,Snow Lava,DESSERT PARLOR,,,413 Spadina Ave,Desserts,15.0,Kensington-Chinatown
790,Koishi,DESSERT PARLOR,,,160 Baldwin St,Desserts,20.0,Kensington-Chinatown
791,Tim Hortons,CAFÉ,,,399 Bathurst Street M5T2S7,Coffee and Cafe,13.0,Kensington-Chinatown
792,Mnandi Pies,QUICK BITES,,,707 Dundas Street W,African,10.0,Kensington-Chinatown
793,Grazie Ristorante,CASUAL DINING,4.2,694.0,2373 Yonge Street,Italian,60.0,Yonge & Eglinton
