Name,EstablishmentType,Rating,NumReviews,Address,Cuisine,CostForTwo,City
Akimi Japanese Cuisine,CASUAL DINING,3.7,46.0,"1285 Elgin Mills Road East, Unit 1, Richmond Hill L4S 0B5","Sushi, Japanese",50.0,Richmond Hill
Kim Tao Hot Pot,CASUAL DINING,3.1,34.0,"10 East Wilmot Street, Richmond Hill","Cantonese, Chinese, Asian",35.0,Richmond Hill
Jack Astor's,CASUAL DINING,3.9,55.0,"155 York Boulevard, Richmond Hill",Bar Food,55.0,Richmond Hill
Shanghai Dim Sum,CASUAL DINING,3.2,16.0,"330 Highway 7 East, Richmond Hill",Shanghai,30.0,Richmond Hill
Senbazuru Sushi Bar,CASUAL DINING,3.9,51.0,"9665 Bayview Avenue, Unit 13, Richmond Hill","Sushi, Japanese, Asian",45.0,Richmond Hill
Magic Noodle,CASUAL DINING,3.1,18.0,"1383 16th Avenue, Richmond Hill",Northern Chinese,20.0,Richmond Hill
Caffe Demetre,DESSERT PARLOR,3.9,49.0,"9174 Yonge Street, Richmond Hill L4C 7A1","Desserts, Ice Cream, Cafe",35.0,Richmond Hill
Haru Sushi,CASUAL DINING,3.9,22.0,"10 East Wilmot Street, Richmond Hill","Sushi, Japanese, Asian",40.0,Richmond Hill
Rhapsody,CASUAL DINING,3.9,40.0,"10152 Yonge Street, Richmond Hill L4C 1T6","Hungarian, Eastern European",65.0,Richmond Hill
Golden Court Abalone Restaurant,CASUAL DINING,2.9,28.0,"270 West Beaver Creek Road, Richmond Hill","Dim Sum, Cantonese, Chinese, Asian",80.0,Richmond Hill
Milestones,CASUAL DINING,3.3,33.0,"30 High Tech Road, Richmond Hill L4B 4L9","Grill, Canadian",65.0,Richmond Hill
Sarpa Restaurant,FINE DINING,3.7,46.0,13311 Yonge Street,Italian,140.0,Richmond Hill
Little Saigon,CASUAL DINING,3.4,22.0,"9625 Yonge Street, Richmond Hill l4c 5t2",Vietnamese,30.0,Richmond Hill
Garlic Onion,CASUAL DINING,3.9,39.0,"10755 Leslie Street, Richmond Hill","Cantonese, Chinese, Asian",30.0,Richmond Hill
